Stkcd,Company_name,Year,Tier,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity,Debt_to_Asset_Ratio,Equity_Ratio,ROE,ROA,Profit_Margin,Asset_Scale_Trillion
600036,ZSYH,2024,Large (>5T),12152036000000.0,10918561000000.0,43257000000.0,1233475000000.0,7461000000.0,0.8984964330257086,0.0006139711896837698,165.3230130009382,0.10150356697429139,28.515038028527176,12.152036
600908,WXYH,2020,Regional (<1T),180018291000.0,165948002000.0,-24619000.0,14070289000.0,91150000.0,0.9218396701699607,0.0005063374365663765,154.36411409764125,0.07816032983003933,-571.5215483975791,0.180018291
600908,WXYH,2021,Regional (<1T),203341525000.0,187780772000.0,1849000.0,15560753000.0,126294000.0,0.92347478951975,0.0006210930108840288,123.21054840293284,0.07652521048024992,8415.766901027582,0.203341525
600908,WXYH,2022,Regional (<1T),211603401000.0,192083292000.0,74997000.0,19520109000.0,137653000.0,0.9077514401576182,0.0006505235707435534,141.8066369784894,0.09224855984238174,260.27853114124565,0.211603401
600908,WXYH,2023,Regional (<1T),234956165000.0,213756652000.0,183823000.0,21199513000.0,143500000.0,0.909772476070164,0.0006107522226539576,147.73179790940767,0.09022752392983602,115.32568285796663,0.234956165
600908,WXYH,2024,Regional (<1T),256801132000.0,233434958000.0,416552000.0,23366174000.0,128027000.0,0.9090106269469248,0.0004985453101507356,182.5097362275145,0.09098937305307517,56.09425473890415,0.256801132
600919,JSYH,2020,Mid-size (1T-5T),2337892914000.0,2155813641000.0,1304697000.0,182079273000.0,4041534000.0,0.922118215120267,0.0017287079214783915,45.05202059416053,0.07788178487973295,139.55674995803622,2.337892914
600919,JSYH,2021,Mid-size (1T-5T),2618874260000.0,2420818512000.0,2266574000.0,198055748000.0,5828670000.0,0.9243737085720183,0.002225639500538678,33.979578188506125,0.07562629142798173,87.3811082276599,2.61887426
600919,JSYH,2022,Mid-size (1T-5T),2980294692000.0,2764863353000.0,993917000.0,215431339000.0,6798609000.0,0.9277147526456756,0.0022811868296948937,31.68756123495262,0.07228524735432439,216.74982820497084,2.980294692
600919,JSYH,2023,Mid-size (1T-5T),3403361837000.0,3144245806000.0,2168785000.0,259116031000.0,8706043000.0,0.9238646833895259,0.002558071523677369,29.76277868142852,0.07613531661047418,119.4752043194692,3.403361837
600919,JSYH,2024,Mid-size (1T-5T),3952041570000.0,3638383352000.0,9283147000.0,313658218000.0,10068401000.0,0.9206338768344484,0.0025476455198319183,31.152733984274168,0.07936612316555162,33.787918902932375,3.95204157
600926,HZYH,2020,Mid-size (1T-5T),1170209707000.0,1089481080000.0,790343000.0,80728627000.0,80728627000.0,0.9310135384135897,0.06898646158641034,1.0,0.06898646158641034,102.14378693807625,1.170209707
600926,HZYH,2021,Mid-size (1T-5T),1391370650000.0,1302040555000.0,2169750000.0,89330095000.0,89330095000.0,0.9357970537900883,0.0642029462099118,1.0,0.0642029462099118,41.17068556285286,1.39137065
600926,HZYH,2022,Mid-size (1T-5T),1616538051000.0,1517964826000.0,1878500000.0,98573225000.0,98573225000.0,0.9390220199648118,0.06097798003518817,1.0,0.06097798003518817,52.47443438914027,1.616538051
600926,HZYH,2023,Mid-size (1T-5T),1841330802000.0,1730037592000.0,3257070000.0,111293210000.0,111293210000.0,0.9395582749829001,0.060441725017099886,1.0,0.060441725017099886,34.1697323054156,1.841330802
600926,HZYH,2024,Mid-size (1T-5T),2112355860000.0,1976307861000.0,5608592000.0,136047999000.0,136047999000.0,0.9355941858205653,0.06440581417943471,1.0,0.06440581417943471,24.25706826240882,2.11235586
600928,XAYH,2020,Regional (<1T),306391591000.0,280768067000.0,43446000.0,25623524000.0,58138000.0,0.9163700155204325,0.00018975063842401602,440.73624823695343,0.08362998447956752,589.7786677714864,0.306391591
600928,XAYH,2021,Regional (<1T),345863917000.0,318260782000.0,59041000.0,27603135000.0,62274000.0,0.9201907639298493,0.0001800534746155668,443.2529627131708,0.07980923607015068,467.5248556088142,0.345863917
600928,XAYH,2022,Regional (<1T),405838548000.0,376590585000.0,123720000.0,29247963000.0,62424000.0,0.9279320233523012,0.0001538148613719168,468.5371491733948,0.07206797664769883,236.40448593598447,0.405838548
600928,XAYH,2023,Regional (<1T),432201362000.0,401275149000.0,69922000.0,30926213000.0,65568000.0,0.9284448969413475,0.00015170706472692697,471.6662548804295,0.07155510305865255,442.29588684534195,0.432201362
600928,XAYH,2024,Regional (<1T),480370120000.0,446898269000.0,303769000.0,33471851000.0,67694000.0,0.9303207056259036,0.00014092050521377142,494.4581646822466,0.06967929437409637,110.18850178918849,0.48037012
601009,NJYH,2020,Mid-size (1T-5T),1517075765000.0,1409042793000.0,90846000.0,108032972000.0,1156845000.0,0.9287886772088803,0.0007625492587049534,93.38586586794256,0.0712113227911198,1189.187988463994,1.517075765
601009,NJYH,2021,Mid-size (1T-5T),1748946747000.0,1626381955000.0,925664000.0,122564792000.0,1205007000.0,0.9299207982117023,0.0006889901033676241,101.71292946845952,0.07007920178829778,132.40743077401734,1.748946747
601009,NJYH,2022,Mid-size (1T-5T),2059483739000.0,1901784904000.0,-829319000.0,157698835000.0,1442643000.0,0.9234279775976421,0.0007004876866376656,109.31244597589286,0.076572022402358,-190.15461481046498,2.059483739
601009,NJYH,2023,Mid-size (1T-5T),2288275916000.0,2115681851000.0,648358000.0,172594065000.0,3032773000.0,0.9245746267776564,0.001325352847003438,56.90965495933919,0.07542537322234352,266.20179746374686,2.288275916
601009,NJYH,2024,Mid-size (1T-5T),2591399702000.0,2399443325000.0,3773241000.0,191956377000.0,3426919000.0,0.9259256004190125,0.0013224200795250382,56.014273170740246,0.07407439958098752,50.873076222801565,2.591399702
601077,YNSH,2020,Mid-size (1T-5T),1135926443000.0,1041294362000.0,-686483000.0,94632081000.0,1403476000.0,0.9166917175111488,0.0012355342272809473,67.42693213136526,0.08330828248885126,-137.85058187893947,1.135926443
601077,YNSH,2021,Mid-size (1T-5T),1265851070000.0,1159807055000.0,-445472000.0,106044015000.0,1531365000.0,0.9162271000805806,0.0012097513177438796,69.24803361706712,0.08377289991941943,-238.04866523597443,1.26585107
601077,YNSH,2022,Mid-size (1T-5T),1351861116000.0,1236844964000.0,-921970000.0,115016152000.0,1732759000.0,0.9149201418409612,0.0012817581477060547,66.37746622582829,0.08507985815903887,-124.75042788810916,1.351861116
601077,YNSH,2023,Mid-size (1T-5T),1447456543000.0,1325001666000.0,-307137000.0,122454877000.0,1922006000.0,0.9153999630647288,0.0013278505729895339,63.7120159874631,0.08460003693527123,-398.69790028554036,1.447456543
601077,YNSH,2024,Mid-size (1T-5T),1517467458000.0,1385390233000.0,1615984000.0,132077225000.0,1915173000.0,0.9129620709138133,0.0012620850548743694,68.96360015518181,0.0870379290861867,81.73176528975534,1.517467458
601128,CSYH,2020,Regional (<1T),208685255000.0,189577801000.0,388381000.0,19107454000.0,1147382000.0,0.9084388880278101,0.005498145999821597,16.653088509319478,0.09156111197218988,49.19770534603907,0.208685255
601128,CSYH,2021,Regional (<1T),246582821000.0,225446117000.0,572412000.0,21136704000.0,1348725000.0,0.914281522474755,0.00546966327390666,15.67161875104265,0.08571847752524496,36.925682899729566,0.246582821
601128,CSYH,2022,Regional (<1T),287881374000.0,263765708000.0,443168000.0,24115666000.0,1538093000.0,0.9162305443213564,0.005342801372067927,15.678938789787093,0.08376945567864352,54.416532782150334,0.287881374
601128,CSYH,2023,Regional (<1T),334456430000.0,307325494000.0,624116000.0,27130936000.0,1774529000.0,0.9188805070962457,0.005305710522593331,15.289091358890161,0.08111949290375431,43.47098295829621,0.33445643
601128,CSYH,2024,Regional (<1T),367302864000.0,338911527000.0,629103000.0,28391337000.0,1980639000.0,0.9227031973265528,0.005392386485720406,14.334432978447865,0.07729680267344716,45.12987062531891,0.367302864
601166,XYYH,2020,Large (>5T),7894000000000.0,7269197000000.0,-749000000.0,624803000000.0,9217000000.0,0.9208508994172789,0.0011675956422599442,67.78810892915266,0.07914910058272105,-834.1829105473965,7.894
601166,XYYH,2021,Large (>5T),8603024000000.0,7908726000000.0,2859000000.0,694298000000.0,10187000000.0,0.9192960521788618,0.001184118514606027,68.15529596544616,0.08070394782113824,242.84644980762505,8.603024
601166,XYYH,2022,Large (>5T),9266671000000.0,8509373000000.0,-724000000.0,757298000000.0,11111000000.0,0.918277232460287,0.0011990282162817694,68.15750157501574,0.08172276753971303,-1045.9917127071824,9.266671
601166,XYYH,2023,Large (>5T),10158326000000.0,9350607000000.0,1239000000.0,807719000000.0,11495000000.0,0.9204869975623936,0.001131584081865457,70.26698564593302,0.07951300243760635,651.9120258272801,10.158326
